id,delay,start_scale,end_scale,next_phase
1260,180000,1000,1000,17481
1261,35000,1000,1000,-1
1262,1800000,1000,1000,-1
1263,1800000,1000,1000,-1
1264,1800000,1000,1000,-1
1265,1800000,1000,1000,-1
1266,1800000,1000,1000,-1
1267,180000,1000,1000,-1
1268,180000,1000,1000,-1
1270,1800000,1000,1000,-1
1271,60000,1000,1000,-1
1272,180000,1000,1000,-1
1273,45000,1000,1000,-1
1274,15000,1000,1000,-1
1275,120000,1000,1000,-1
1276,60000,1000,1000,-1
1277,1800000,1000,1000,-1
1278,300000,1000,1000,-1
1279,1800000,1000,1000,-1
1280,60000,1000,1000,-1
1282,300000,1000,1000,-1
1283,300000,1000,1000,-1
1284,300000,1000,1000,-1
1285,3000,1000,1000,17518
1287,1000,700,1000,17563
1288,36000000,1000,1000,17666
1289,180000,1000,1000,17766
1290,180000,1000,1000,18018
1292,180000,1000,1000,18072
1293,10000,900,1000,18264
1294,10000,700,1000,18265
1295,10000,600,1000,18266
1296,10000,900,900,18268
1301,72000000,1000,1000,18640
1302,72000000,1000,1000,18637
1303,72000000,1000,1000,18552
1308,86400000,1000,1000,18796
1309,172800000,1000,1000,18805
1310,86400000,1000,1000,18815
1311,86400000,1000,1000,18821
1312,86400000,1000,1000,18931
1313,86400000,1000,1000,18964
1314,172800000,1000,1000,18965
1315,172800000,1000,1000,18974
1316,172800000,1000,1000,18975
1317,172800000,1000,1000,18976
1318,172800000,1000,1000,18977
1319,172800000,1000,1000,18990
1320,172800000,1000,1000,18991
1321,172800000,1000,1000,18992
1322,172800000,1000,1000,18993
1323,172800000,1000,1000,19094
1324,172800000,1000,1000,19095
1325,172800000,1000,1000,19096
1326,172800000,1000,1000,19097
1327,172800000,1000,1000,19102
1328,172800000,1000,1000,19103
1329,172800000,1000,1000,19104
1330,172800000,1000,1000,19105
1331,172800000,1000,1000,19102
1332,172800000,1000,1000,19103
1333,172800000,1000,1000,19104
1334,172800000,1000,1000,19105
1335,432000000,1000,1000,19136
1336,432000000,1000,1000,19142
1337,432000000,1000,1000,19148
1338,11316000,800,900,17868
1339,101844000,900,1000,18663
1340,500,1000,1000,18664
1341,104400000,1000,1000,19166
1342,104400000,1000,1000,18665
1343,104400000,1000,1000,19174
1344,104400000,1000,1000,19167
1345,104400000,1000,1000,19189
1346,5000,1000,1000,19209
1347,2000,700,1000,19315
1349,1800000,0,0,19378
1350,5000,500,700,19399
1351,5000,500,700,19407
1352,5000,500,700,19416
1353,5000,500,700,19424
1354,5000,500,700,19432
1355,5000,500,700,19440
1356,5000,500,700,19448
1357,5000,500,700,19456
1358,5000,500,700,19464
1359,5000,500,700,19472
1360,5000,500,700,19480
1361,5000,500,700,19495
1362,5000,500,700,19504
1363,5000,500,700,19512
1364,5000,500,700,19520
1365,5000,500,700,19529
1366,5000,500,700,19538
1367,5000,700,1000,19400
1368,5000,700,1000,19408
1369,5000,700,1000,19417
1370,5000,700,1000,19425
1371,5000,700,1000,19433
1372,5000,700,1000,19441
1373,5000,700,1000,19449
1374,5000,700,1000,19457
1375,5000,700,1000,19465
1376,5000,700,1000,19473
1377,5000,700,1000,19482
1378,5000,700,1000,19496
1379,5000,700,1000,19505
1380,5000,700,1000,19513
1381,5000,700,1000,19521
1382,5000,700,1000,19530
1383,5000,700,1000,19539
1384,2000,500,700,-1
1385,1814400000,1000,1000,19645
1386,604800000,1000,1000,19646
1387,1296000000,1000,1000,19646
1388,1296000000,1000,1000,19646
1389,1296000000,1000,1000,19646
1390,1296000000,1000,1000,19646
1391,1296000000,1000,1000,19646
1392,1296000000,1000,1000,19646
1393,1296000000,1000,1000,19646
1394,1296000000,1000,1000,19646
1395,1296000000,1000,1000,19646
1396,1296000000,1000,1000,19646
1397,1814400000,1000,1000,19660
1398,1814400000,1000,1000,19651
1399,1814400000,1000,1000,19654
1400,1814400000,1000,1000,19648
1401,1814400000,1000,1000,19657
1402,604800000,1000,1000,19649
1403,604800000,1000,1000,19652
1404,604800000,1000,1000,19655
1405,604800000,1000,1000,19658
1406,604800000,1000,1000,19661
1407,1296000000,1000,1000,19649
1408,1296000000,1000,1000,19652
1409,1296000000,1000,1000,19661
1410,1296000000,1000,1000,19658
1411,1296000000,1000,1000,19655
1412,1296000000,1000,1000,19649
1413,1296000000,1000,1000,19649
1414,1296000000,1000,1000,19649
1415,1296000000,1000,1000,19649
1416,1296000000,1000,1000,19649
1417,1296000000,1000,1000,19649
1418,1296000000,1000,1000,19649
1419,1296000000,1000,1000,19649
1420,1296000000,1000,1000,19649
1421,1296000000,1000,1000,19652
1422,1296000000,1000,1000,19652
1423,1296000000,1000,1000,19652
1424,1296000000,1000,1000,19652
1425,1296000000,1000,1000,19652
1426,1296000000,1000,1000,19652
1427,1296000000,1000,1000,19652
1428,1296000000,1000,1000,19652
1429,1296000000,1000,1000,19652
1430,1296000000,1000,1000,19655
1431,1296000000,1000,1000,19655
1432,1296000000,1000,1000,19655
1433,1296000000,1000,1000,19655
1434,1296000000,1000,1000,19655
1435,1296000000,1000,1000,19655
1436,1296000000,1000,1000,19655
1437,1296000000,1000,1000,19655
1438,1296000000,1000,1000,19655
1439,1296000000,1000,1000,19658
1440,1296000000,1000,1000,19658
1441,1296000000,1000,1000,19658
1442,1296000000,1000,1000,19658
1443,1296000000,1000,1000,19658
1444,1296000000,1000,1000,19658
1445,1296000000,1000,1000,19658
1446,1296000000,1000,1000,19658
1447,1296000000,1000,1000,19658
1448,1296000000,1000,1000,19661
1449,1296000000,1000,1000,19661
1450,1296000000,1000,1000,19661
1451,1296000000,1000,1000,19661
1452,1296000000,1000,1000,19661
1453,1296000000,1000,1000,19661
1454,1296000000,1000,1000,19661
1455,1296000000,1000,1000,19661
1456,1296000000,1000,1000,19661
